ym,size_factor,value_factor,mom_factor,qual_factor,lowvol_factor,rev_factor,ewtret,vwtret
1995m7,-.11523473,.17917895,-1.3220272,.60905552,.61602134,1.0924883,.53,1.43
1995m8,-.91537625,-1.0269139,-1.7763531,.75043368,1.3493559,-.58756548,1.04,1.19
1995m9,1.2710683,-1.8052347,.81886697,-2.6177652,.90681332,1.6021476,2.21,2.3
1995m10,2.2536101,1.9501092,1.5330147,-1.1284161,-1.7575485,1.8486624,-1.19,-2.19
1995m11,-.63833493,-.011124611,-.057928145,2.1405416,.1378164,2.2310038,.01,.88
1995m12,-5.6830697,-2.3167214,2.3016739,5.3511372,1.4044549,1.4603429,4.32,6.03
1996m1,3.128943,2.9147596,2.9680719,-5.4140854,-.78266448,4.017323,4.590000000000001,2.01
1996m2,.91455102,-.40907821,-.98528862,-1.1111777,.13731988,-.36700666,.44,.5499999999999999
1996m3,3.6104558,2.2355828,-.14426094,1.3597939,.20594728,1.0669644,1.77,.44
1996m4,-.17752343,1.3298159,.4840377,-.57280993,.78742063,1.2102668,.28,.02
1996m5,-1.0573869,-1.8652349,-.48628592,5.4617448,-.075952433,1.1657661,2.93,2.43
1996m6,.95654243,-.20495999,-.54466009,-1.1215199,-.26555461,.15679991,2.18,1.88
1996m7,.10692036,1.1194627,.82606328,2.5312855,-.10604993,1.6922383,.13,.48
1996m8,.15057373,.7206769,-.99679828,-1.8335323,-1.2405905,1.2855761,4.12,3.85
1996m9,.39461184,-.76660931,.10260105,1.2336359,-.56100571,1.0801673,2.58,2.18
1996m10,2.6390121,1.7386289,1.4243047,-.040301561,-.78634512,-.52272391,2.26,3.11
1996m11,-1.8676345,-1.821743,-.88508487,7.2576165,-.85626447,1.1886311,4.27,4.32
1996m12,-2.9014845,-4.4408455,1.5568829,10.692099,.36088142,.92480946,7.79,10.33
1997m1,4.5926065,1.4663541,1.9424765,-4.2964253,.56952399,2.878551,3.56,.86
1997m2,-.81872505,.40287757,2.3445692,-3.202673,1.4328523,.53667212,-.07,-.05
1997m3,-2.2478623,-.89537734,-.76327384,3.5380507,-.04089684,2.9702749,-.7000000000000001,-.5499999999999999
1997m4,3.6814318,3.7803073,-2.6387596,-.911376,-.40153021,1.4900396,-1.47,-2.51
1997m5,.42194915,1.8625753,.77004743,-2.9356256,.50613314,1.2502,3.73,3.04
1997m6,-.047811031,-1.7367435,4.3618097,3.7287886,-.92522395,3.8204088,4.18,5.08
1997m7,-.6268754,-.54435706,-.033081532,-1.0223651,1.2922646,3.8759584,2.97,2.86
1997m8,3.4098289,.45281181,.72138077,-3.2711511,-.30248132,.70527023,1.63,-.42
1997m9,-1.5540829,-4.5396919,4.6758189,-2.5454187,-.9961822,-1.1648264,6.660000000000001,8.619999999999999
1997m10,2.9564147,1.0470409,1.011425,1.03562,.35663548,1.3230159,-1.71,-2.74
1997m11,-1.9775174,-1.8562173,-1.1272893,-.37958384,.84766418,3.2336941,.72,1.85
1997m12,1.332567,.40536785,.71753454,2.1174688,1.1534555,.55667794,2.45,2.32
